,word,detail,code
9,abductor,Early 17th century (as a term in anatomy): modern Latin (see abduct).,2
39,accipiter,"From Latin, ＆hawk, bird of prey＊.",2
41,accommodator,"Mid 17th century. From accommodate + -or. Compare post-classical Latin accommodator, French accommodeur.",2
46,accruer,"Mid 17th century. From accrue + -er, after nouns in the field of legal terminology with the ending -er derived from the infinitive forms of French verbs.",2
51,acer,"From Latin, ＆maple＊.",2
54,achernar,"From Arabic, ＆end of the river (i.e. Eridanus)＊.",2
58,acidifier,Late 18th century. From acidify + -er.,2
60,acker,"1930s; earliest use found in Eric Partridge (1894每1979), lexicographer and etymologist. Origin unknown.",2
64,acquiror,Late 18th century. From acquire + -or. Compare earlier acquirer.,2
65,acquisitor,"Late 17th century; earliest use found in Leonard Willan (fl. 1648每1670), writer. From post-classical Latin acquisitor person who acquires something from classical Latin acqu貝s貝t-, past participial stem of acqu貝rere + -or.",2
67,actor,"Late Middle English (originally denoting an agent or administrator): from Latin, ＆doer, actor＊, from agere ＆do, act＊.",2
75,adder,"Old English n?dre ＆serpent, adder＊, of Germanic origin; related to Dutch adder and German Natter. The initial n was lost in Middle English by wrong division of a naddre; compare with apron, auger, and umpire.",2
78,adductor,"Early 17th century: modern Latin, from Latin adduct- ＆brought in＊, from the verb adducere (see adduce).",2
99,adrenoceptor,1960s.,2
103,adulter,"Late Middle English; earliest use found in The Wycliffite Bible (early version). From (i) Anglo-Norman avoutere, avouteire, avouter, avoutour, advouter, advoutoure and Middle French avoutre, also adultere, also adultre, used as both noun and adjective&lt;br&gt;late Middle English; earliest use found in The Wycliffite Bible (early version). From Middle French avoultrer, advoultrer, also Middle French adulterer to commit adultery, to alter, corrupt, falsify and its etymon classical Latin adulter芋re to commit adultery (with), to defile by adultery, to mix (a substance) with another, to impair the purity or strength of, to counterfeit, to falsify or tamper with, to corrupt, debase from ad to + alter another.",2
104,adulterer,"Early 16th century: from the obsolete verb adulter ＆commit adultery＊, from Latin adulterare ＆debauch, corrupt＊, replacing an earlier Middle English noun avouterer, from Old French avoutrer ＆commit adultery＊.",2
105,adventurer,"Late 15th century (denoting a gambler): from French aventurier, from aventurer ＆venture upon＊ (see adventure).",2
114,aerocar,Early 20th century; earliest use found in Flight International.,2
115,aerogenerator,1940s.,2
117,afar,Middle English of feor ＆from far＊.,2
119,afer,Late Middle English (in an earlier sense). From classical Latin ?fer African.,2
121,affecter,Mid 16th century (in an earlier sense). From affect + -er.,2
128,afrikaner,"Afrikaans, from South African Dutch Africander, from Dutch Afrikaan ＆an African＊ + the personal suffix -der, on the pattern of Hollander ＆Dutchman＊.",2
129,afshar,"Early 20th century; earliest use found in The Decatur Review. From Afshar, Avshar (Turkish Av?ar, also Af?ar, self-designation; Persian Af?芋r), the name of one of the sub-clans of the Oghuz (Turkic) tribal confederation, now living in south-east Iran.",2
130,after,"Old English ?fter, of Germanic origin; related to Dutch achter.",2
133,agar,Early 19th century: from Malay.,2
137,agger,"Late Middle English; earliest use found in John Trevisa (c1342每?1402), translator. From classical Latin agger material for an earthwork, rubble, offensive earthwork, ramp, defensive earthwork, rampart, road or causeway raised above the level of the surrounding ground, mound or pile of earth or rubble, perhaps from aggerere.",2
138,aggravator,"Late 16th century; earliest use found in John Florio (1553每1625), author and teacher of languages. From aggravate + -or, originally after Italian gravatore.",2
139,aggregometer,1960s; earliest use found in Life Science. From aggreg- + -ometer.,2
140,aggressor,"Mid 17th century: from late Latin, from aggredi ＆to attack＊ (see aggression).",2
143,agonizer,Late 18th century; earliest use found in New Christian&#39;s Magazine. From agonize + -er.,2
153,aider,"Late 15th century; earliest use found in William Caxton (1415x24每1492), printer, merchant, and diplomat. From aid + -er.",2
156,aimer,"Late 16th century; earliest use found in Anthony Munday (d. 1633), playwright and translator. From aim + -er.",2
